Txn Date,Memo,Amount,Reference
2026-06-01,Office rent - June,-2400.00,
2026-06-02,Brightwave Media - Invoice 1041,"3,500.00",INV-1041
2026-06-03,Check 1042 - Patel Plumbing repair,-650.00,1042
2026-06-04,Google Workspace,-28.80,
2026-06-05,Invoice 1042 - Cedar & Co,"1,500.00",INV-1042
2026-06-06,Invoice 1043 - Marigold Bakery,"2,000.00",INV-1043
2026-06-07,Invoice 1044 - Juniper Yoga,"1,250.00",INV-1044
2026-06-10,Amazon - office supplies,-142.60,
2026-06-12,Starbucks coffee,-18.50,
2026-06-12,Verizon phone bill,-89.99,
2026-06-12,Figma subscription,-45.00,
2026-06-13,Figma subscription,-45.00,
2026-06-15,Payroll - first half of June (Gusto),"-3,850.00",
2026-06-16,Team lunch - Hometown Deli,-64.20,
2026-06-18,ADOBE CREATIVE CLOUD,-59.99,
2026-06-19,Office Depot refund,38.42,
2026-06-24,Northwind LLC - Invoice 1045,"2,200.00",INV-1045
2026-06-25,Invoice 1047 - Beacon Dental,175.00,INV-1047
2026-06-25,Invoice 1048 - Loom Floral,125.00,INV-1048
2026-06-26,Workshop tickets (4 seats),120.00,
2026-06-26,Print sale - art fair,180.00,
2026-06-28,Check 1043 - Window cleaning,(180.00),1043
2026-06-29,Invoice 1046 - Cedar & Co,950.00,INV-1046
