date,description,amount
2026-03-04,The Annex Co-Working,-220.00
2026-03-08,Google Workspace,-79.00
2026-03-09,Dribbble yearly,-54.00
2026-03-12,Client payment Maple and Vine,950.00
2026-03-15,Webflow hosting,-23.00
2026-03-17,Team dinner Uber Eats,-26.00
2026-03-20,Client payment Brightfox,1800.00
2026-03-19,Invoice 204 Oakwell,125.00
2026-03-22,Adobe Creative Cloud,-59.99
2026-03-22,Squarespace subscription,-48.00
2026-03-27,Harborline Payment,3200.00
2026-03-28,Figma annual plan,-144.00
2026-03-30,Check 112 illustrator,-450.00
