Date,Description,Debit,Credit,Balance
06/01/2026,OPENING BALANCE,,,12480.50
06/01/2026,RENT PAYMENT - PARKSIDE PROPERTIES,2400.00,,10080.50
06/02/2026,ACH DEPOSIT CLIENT BRIGHTWAVE MEDIA,,3500.00,13580.50
06/04/2026,GOOGLE WORKSPACE GSUITE_STUDIO,28.80,,13551.70
06/05/2026,CHECK 1042,650.00,,12901.70
06/08/2026,STRIPE PAYOUT ST-K9PL2,,4750.00,17651.70
06/09/2026,AMZN MKTP US*Z48PQ3 SEATTLE WA,142.60,,17509.10
06/09/2026,POS DEBIT 9921 STARBUCKS RESERVE 04412 SEATTLE WA REF 2200391,18.50,,17490.60
06/10/2026,VERIZON WIRELESS PMT,89.99,,17400.61
06/12/2026,PAYPAL *FIGMA INC,45.00,,17355.61
06/15/2026,PAYROLL RUN GUSTO JUN-A,3850.00,,13505.61
06/16/2026,TST* HOMETOWN DELI PORTLAND OR,64.20,,13441.41
06/18/2026,ADOBE CREATIVE CLOUD,59.99,,13381.42
06/20/2026,REFUND OFFICE DEPOT #2114,,38.42,13419.84
06/22/2026,ACH DEPOSIT CLIENT NORTHWIND LLC,,2200.00,15619.84
06/25/2026,WIRE TRANSFER FEE,25.00,,15594.84
06/26/2026,MOBILE CHECK DEPOSIT,,300.00,15894.84
06/30/2026,MONTHLY SERVICE FEE,15.00,,15879.84
06/30/2026,INTEREST PAYMENT,,4.83,15884.67
